4,"t","Crop Production Historical Track Records: Released April 11, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
4,"t","Barley Area Planted and Harvested, Yield, Production, Price, and Value –"
4,"t","United States: 1866-2021 (continued)"
4,"t","[Blank data cells indicate a program change or that the estimation period has not yet begun]"
4,"h","","","","","","",""
4,"h","Year","Area planted","Area harvested","Yield per acre","Production","Price per bushel 1/","Value of production"
4,"h","","","","","","",""
4,"u","","(1,000 acres)","(1,000 acres)","(bushels)","(1,000 bushels)","(dollars)","(1,000 dollars)"
4,"d","1910",,7546,18.9,142419,0.601,86465
4,"d","1911",,7613,19.1,145074,0.814,119656
4,"d","1912",,7542,26.1,196927,0.510,100311
4,"d","1913",,7673,20.7,158820,0.526,83402
4,"d","1914",,7653,23.2,177712,0.528,95335
4,"d","1915",,7279,28.4,206976,0.514,107726
4,"d","1916",,7623,20.9,159157,0.789,127898
4,"d","1917",,8453,21.6,182209,1.220,224362
4,"d","1918",,9198,24.5,225067,0.962,214110
4,"d","1919",,6579,19.9,131086,1.280,163006
4,"d","",,,,,,
4,"d","1920",,7439,23.0,171042,0.907,145232
4,"d","1921",,7074,18.8,132702,0.497,63530
4,"d","1922",,6601,23.2,152908,0.505,76319
4,"d","1923",,7151,22.2,158994,0.548,86828
4,"d","1924",,7038,23.5,165318,0.744,122617
4,"d","1925",,8186,23.5,192466,0.617,118200
4,"d","1926",8796,7917,21.0,166030,0.574,96093
4,"d","1927",9513,9465,25.3,239071,0.696,164751
4,"d","1928",12828,12735,25.8,328351,0.585,186730
4,"d","1929",14703,13564,20.7,280637,0.599,151134
4,"d","",,,,,,
4,"d","1930",13581,12629,23.9,301619,0.420,122178
4,"d","1931",13820,11181,17.9,200280,0.354,65616
4,"d","1932",14555,13206,22.7,299394,0.232,66178
4,"d","1933",14200,9641,15.9,152839,0.429,66349
4,"d","1934",12024,6577,17.8,117390,0.643,80521
4,"d","1935",13956,12436,23.2,288667,0.376,109372
4,"d","1936",12837,8329,17.7,147740,0.754,115461
4,"d","1937",12346,9969,22.3,221889,0.549,120257
4,"d","1938",12171,10610,24.2,256620,0.381,94336
4,"d","1939",15513,12739,21.8,278193,0.403,112541
4,"d","",,,,,,
4,"d","1940",15689,13525,23.0,311278,0.393,123543
4,"d","1941",15857,14276,25.4,362568,0.545,191741
4,"d","1942",19686,16958,25.3,429450,0.633,271231
4,"d","1943",17474,14900,21.7,322913,0.996,319871
4,"d","1944",14352,12301,22.5,276275,1.010,280434
4,"d","1945",11745,10454,25.5,266994,1.010,271662
4,"d","1946",11467,10380,25.5,265059,1.380,360773
4,"d","1947",11981,10955,25.7,281868,1.730,478852
4,"d","1948",13063,11905,26.5,315537,1.160,363258
4,"d","1949",11132,9872,24.0,237071,1.060,246293
4,"c",""
4,"c","See footnote(s) at end of table.","--continued"
