23,"t","Crop Production Historical Track Records: Released April 11, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
23,"t","Corn Area Planted and Harvested, Yield, Production, Utilization, Price, and Value –"
23,"t","United States: 1866-2021  (continued)"
23,"t","[Blank data cells indicate a program change or that the estimation period has not yet begun]"
23,"h","","","","","","","","","","","",""
23,"h","","Acreage for","Acreage for","","","","","","","","",""
23,"h","","all purposes","all purposes","Harvested for grain 1/","Harvested for grain 1/","Harvested for grain 1/","Harvested for grain 1/","Harvested for grain 1/","Harvested for silage","Harvested for silage","Harvested for silage","Forge"
23,"h","Year","","","","","","","","","","","grazed"
23,"h","","","","","Yield","","Price per","Value of","","Yield","","hogged"
23,"h","","Planted","Hv","Acres","per acre","Production","bushel 2/","production","Acres","per acre","Production",""
23,"h","","","","","","","","","","","",""
23,"u","","(1,000 ac)","(1,000 ac)","(1,000 ac)","(bu)","(1,000 bu)","(dollars)","(1,000 dollars)","(1,000 ac)","(tons)","(1,000 tons)","(1,000 ac)"
23,"d","1910",,,102267,27.9,2852794,0.475,,,,,
23,"d","1911",,,101393,24.4,2474635,0.649,,,,,
23,"d","1912",,,101451,29.1,2947842,0.511,,,,,
23,"d","1913",,,100206,22.7,2272540,0.659,,,,,
23,"d","1914",,,97796,25.8,2523750,0.673,,,,,
23,"d","1915",,,100623,28.1,2829044,0.651,,,,,
23,"d","1916",,,100561,24.1,2425206,1.130,,,,,
23,"d","1917",,,110893,26.2,2908242,1.390,,,,,
23,"d","1918",,,102195,23.9,2441249,1.450,,,,,
23,"d","1919",,98145,87487,26.8,2341870,1.440,,3554,7.56,26866,7104
23,"d","",,,,,,,,,,,
23,"d","1920",,101359,90149,29.9,2695085,0.540,,3682,7.60,27996,7528
23,"d","1921",,103155,91939,27.8,2556924,0.464,,3486,7.74,26979,7730
23,"d","1922",,100345,84858,26.3,2229496,0.688,,3663,7.53,27568,11824
23,"d","1923",,101123,87493,27.8,2429551,0.760,,3983,7.50,29874,9647
23,"d","1924",,100420,84119,22.1,1860112,1.020,,4307,6.67,28737,11994
23,"d","1925",,101331,86825,27.4,2382288,0.654,,3681,7.97,29343,10825
23,"d","1926",99660,98452,83275,25.7,2140207,0.715,,4350,7.01,30493,10827
23,"d","1927",98460,98357,83915,26.4,2218189,0.804,,4268,7.01,29926,10174
23,"d","1928",100399,100336,85832,26.3,2260990,0.798,,3985,7.53,30000,10519
23,"d","1929",99130,98805,83194,25.7,2135038,0.764,,4021,7.30,29335,11590
23,"d","",,,,,,,,,,,
23,"d","1930",103915,101465,85525,20.5,1757297,0.550,,4875,6.16,30026,11065
23,"d","1931",109364,106866,91131,24.5,2229903,0.294,,4710,6.98,32875,11025
23,"d","1932",113024,110577,97213,26.5,2578685,0.292,,4293,7.47,32073,9071
23,"d","1933",109830,105918,92130,22.8,2104725,0.494,,4864,6.72,32705,8924
23,"d","1934",100563,92193,61245,18.7,1146734,0.802,,7132,4.92,35093,23816
23,"d","1935",99974,95974,82551,24.2,2001367,0.632,,5309,7.08,37563,8114
23,"d","1936",101959,93154,67833,18.6,1258673,1.030,,8539,3.95,33690,16782
23,"d","1937",97174,93930,81222,28.9,2349425,0.490,,5543,6.77,37522,7165
23,"d","1938",94473,92160,82788,27.8,2300095,0.469,,4456,7.90,35187,4916
23,"d","1939",91639,88279,78307,29.9,2341602,0.542,,4514,7.35,33200,5458
23,"d","",,,,,,,,,,,
23,"d","1940",88692,86429,76443,28.9,2206882,0.601,,4735,7.31,34615,5251
23,"d","1941",86837,85357,77404,31.2,2414445,0.736,,4023,8.39,33751,3930
23,"d","1942",88818,87367,79213,35.4,2801819,0.894,,3841,8.71,33445,4313
23,"d","1943",94341,92060,81906,32.6,2668490,1.080,,4162,8.05,33518,5992
23,"d","1944",95475,94014,85002,33.0,2801612,1.030,,4476,7.79,34888,4536
23,"d","1945",89261,87625,77928,33.1,2577449,1.230,,4495,7.83,35214,5202
23,"d","1946",88898,87585,78410,37.2,2916089,1.530,,4577,7.87,36031,4598
23,"d","1947",85038,82888,73802,28.6,2108320,2.160,,4637,7.39,34290,4449
23,"d","1948",85522,84778,76840,43.0,3307038,1.280,3625055,4317,8.71,37592,3621
23,"d","1949",86738,85595,77106,38.2,2946206,1.240,3666009,4513,8.95,40386,3976
23,"c",""
23,"c","See footnote(s) at end of table.","--continued"
